Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.531007751938,0.834482758621,0.655672823219,0.103988603989,0.598039215686,0.58392178164,0.135468802135,0.957219251337,0.828888888889,0.124447858652,0.229445506692,0.664772727273,0.782068965517,0.73275862069,0.661654135338,0.409649122807,1.0,0.0155993431856,0.451327433628,0.561538461538,0.93023255814,1.0,1.0,0.790435249866,0.714714714715,0.973607038123,0.0785545954438,0.0872024970737,0.152962962963,0.190701053396,0.0725586470267,0.10813559322,0.941234567901,0.946088794926,0.934054431263,0.852272727273,0.230837264151,0.685714285714,0.853741496599,0.909845788849,0.696629213483,0.884705882353,0.99517490953,0.871532846715,0.974014336918,0.731800766284,0.103479304139,0.106837606838,0.0442643391521,0.790167865707,0.62180974478,1.0,0.824046920821,0.521739130435,0.437601296596,0.728187919463,0.796071634893,0.513513513514,0.972027972028,0.500580720093,0.682896379526,0.840375586854,0.721637426901,0.91617357002,0.934289127838,0.764471057884,0.620240480962,0.147437128048,0.90618336887,0.139429530201,0.117137764197,1.0,0.990675990676,0.901960784314,0.656985871272,0.22197309417,0.711486486486,0.905564924115,0.879842784952,0.0651685393258,0.931182795699,0.625878003697,0.542857142857,0.16589122413,0.977777777778
1-SPFN,0.526923076923,0.834482758621,0.678035470668,0.102600140548,0.624269005848,0.593267108168,0.117510853835,0.957219251337,0.830734966592,0.108560897973,0.266075388027,0.629032258065,0.772479564033,0.739130434783,0.775330396476,0.476044852192,1.0,0.0153721682848,0.452662721893,0.593495934959,0.93023255814,1.0,1.0,0.798588490771,0.727828746177,0.97503671072,0.0695047784535,0.0823659480376,0.132882882883,0.173553719008,0.0507246376812,0.0949970220369,0.941234567901,0.936192468619,0.93340306834,0.857142857143,0.178685531721,0.685714285714,0.886925795053,0.909845788849,0.692737430168,0.876456876457,0.990396158463,0.874084919473,0.969669937556,0.743190661479,0.0865312264861,0.0833333333333,0.0424133811231,0.784523809524,0.618937644342,1.0,0.824046920821,0.517985611511,0.453020134228,0.722129783694,0.799767846779,0.555555555556,0.972027972028,0.430569430569,0.682044887781,0.856459330144,0.744270205066,0.91707798618,0.934289127838,0.760675273088,0.644791666667,0.129032258065,0.902814657461,0.121954798943,0.0893898173339,1.0,0.990675990676,0.901960784314,0.665341812401,0.234042553191,0.710047201618,0.908629441624,0.878855860909,0.0607541899441,0.931182795699,0.646923958731,0.551257253385,0.157382039574,0.977777777778
SP-Score,0.528965414431,0.834482758621,0.666854146944,0.103294372268,0.611154110767,0.588594444904,0.126489827985,0.957219251337,0.829811927741,0.116504378312,0.247760447359,0.646902492669,0.777274264775,0.735944527736,0.718492265907,0.442846987499,1.0,0.0154857557352,0.451995077761,0.577517198249,0.93023255814,1.0,1.0,0.794511870318,0.721271730446,0.974321874421,0.0740296869487,0.0847842225557,0.142922922923,0.182127386202,0.0616416423539,0.101566307629,0.941234567901,0.941140631773,0.933728749802,0.854707792208,0.204761397936,0.685714285714,0.870333645826,0.909845788849,0.694683321825,0.880581379405,0.992785533996,0.872808883094,0.971842137237,0.737495713881,0.0950052653126,0.0950854700855,0.0433388601376,0.787345837616,0.620373694561,1.0,0.824046920821,0.519862370973,0.445310715412,0.725158851578,0.797919740836,0.534534534535,0.972027972028,0.465575075331,0.682470633653,0.848417458499,0.732953815983,0.9166257781,0.934289127838,0.762573165486,0.632516073814,0.138234693056,0.904499013166,0.130692164572,0.103263790765,1.0,0.990675990676,0.901960784314,0.661163841836,0.228007823681,0.710766844052,0.90709718287,0.87934932293,0.062961364635,0.931182795699,0.636400981214,0.547057198121,0.161636631852,0.977777777778
TC,0.0888888888889,0.616666666667,0.489473684211,0.0147058823529,0.344202898551,0.164473684211,0.00763358778626,0.90625,0.723270440252,0.0,0.0357142857143,0.443548387097,0.669230769231,0.487804878049,0.582417582418,0.16,1.0,0.0056657223796,0.06,0.329787234043,0.85393258427,1.0,1.0,0.48623853211,0.281690140845,0.854166666667,0.00595238095238,0.015923566879,0.0223214285714,0.017094017094,0.0,0.0120481927711,0.838383838384,0.907407407407,0.845360824742,0.770491803279,0.0,0.611111111111,0.488095238095,0.795918367347,0.507692307692,0.65625,0.958041958042,0.714285714286,0.87012987013,0.597701149425,0.0,0.0,0.00677200902935,0.597222222222,0.425806451613,1.0,0.606557377049,0.358490566038,0.15,0.214285714286,0.625,0.475409836066,0.958041958042,0.0,0.299319727891,0.766233766234,0.372340425532,0.842105263158,0.793103448276,0.371428571429,0.352941176471,0.0,0.741463414634,0.0,0.0225563909774,1.0,0.974683544304,0.842696629213,0.277777777778,0.137254901961,0.306748466258,0.845771144279,0.63768115942,0.0181818181818,0.761904761905,0.311827956989,0.14606741573,0.00649350649351,0.955555555556
Modeler,0.531007751938,0.834482758621,0.655672823219,0.103988603989,0.598039215686,0.58392178164,0.135468802135,0.957219251337,0.828888888889,0.124447858652,0.229445506692,0.664772727273,0.782068965517,0.73275862069,0.661654135338,0.409649122807,1.0,0.0155993431856,0.451327433628,0.561538461538,0.93023255814,1.0,1.0,0.790435249866,0.714714714715,0.973607038123,0.0785545954438,0.0872024970737,0.152962962963,0.190701053396,0.0725586470267,0.10813559322,0.941234567901,0.946088794926,0.934054431263,0.852272727273,0.230837264151,0.685714285714,0.853741496599,0.909845788849,0.696629213483,0.884705882353,0.99517490953,0.871532846715,0.974014336918,0.731800766284,0.103479304139,0.106837606838,0.0442643391521,0.790167865707,0.62180974478,1.0,0.824046920821,0.521739130435,0.437601296596,0.728187919463,0.796071634893,0.513513513514,0.972027972028,0.500580720093,0.682896379526,0.840375586854,0.721637426901,0.91617357002,0.934289127838,0.764471057884,0.620240480962,0.147437128048,0.90618336887,0.139429530201,0.117137764197,1.0,0.990675990676,0.901960784314,0.656985871272,0.22197309417,0.711486486486,0.905564924115,0.879842784952,0.0651685393258,0.931182795699,0.625878003697,0.542857142857,0.16589122413,0.977777777778
Compression,1.0119760479,1.0,0.936893203883,0.850299401198,0.943708609272,0.975308641975,0.979020979021,1.0,1.00617283951,1.0,0.857142857143,1.07874015748,1.01779359431,0.977777777778,0.809523809524,0.791666666667,1.0,0.857657657658,1.0,0.94262295082,1.0,1.0,1.0,1.0,0.946666666667,1.0,0.978947368421,0.938202247191,1.0612244898,0.991452991453,1.02702702703,1.01136363636,1.0,0.995824634656,1.01421800948,1.0,1.05454545455,1.0,0.898148148148,1.0,1.0,1.02222222222,1.02739726027,1.0,1.01282051282,0.977528089888,0.986046511628,1.04861111111,0.976545842217,1.00657894737,1.00636942675,1.0,1.0,1.01515151515,0.96062992126,1.0,1.02142857143,0.870588235294,1.0,1.18181818182,1.0,0.975903614458,0.929203539823,1.0,1.0,1.0,0.907216494845,0.95867768595,1.01395348837,1.09523809524,0.988439306358,1.0,1.0,1.0,0.925,0.89552238806,0.994117647059,1.0,1.01123595506,0.932075471698,1.0,0.969696969697,0.973799126638,0.858024691358,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
Estimated Length,169.0,60.0,193.0,142.0,285.0,158.0,140.0,32.0,163.0,108.0,102.0,137.0,286.0,44.0,119.0,76.0,84.0,476.0,151.0,115.0,90.0,41.0,76.0,112.0,71.0,48.0,372.0,334.0,260.0,116.0,190.0,178.0,99.0,477.0,214.0,75.0,58.0,81.0,97.0,104.0,69.0,46.0,150.0,125.0,79.0,87.0,212.0,151.0,458.0,153.0,158.0,125.0,61.0,67.0,122.0,43.0,143.0,74.0,145.0,26.0,152.0,81.0,105.0,369.0,88.0,70.0,88.0,116.0,218.0,161.0,171.0,185.0,79.0,180.0,37.0,180.0,169.0,205.0,90.0,247.0,64.0,96.0,223.0,139.0,46.0
Maximum Ungapped Length,165.0,60.0,191.0,129.0,280.0,153.0,126.0,32.0,159.0,97.0,101.0,127.0,281.0,44.0,119.0,71.0,84.0,448.0,149.0,110.0,89.0,41.0,76.0,107.0,71.0,48.0,337.0,302.0,235.0,104.0,173.0,160.0,98.0,468.0,204.0,73.0,51.0,76.0,97.0,104.0,69.0,45.0,145.0,119.0,77.0,87.0,191.0,136.0,428.0,149.0,155.0,125.0,60.0,63.0,116.0,43.0,137.0,74.0,145.0,22.0,151.0,81.0,96.0,366.0,88.0,70.0,86.0,104.0,204.0,145.0,154.0,185.0,79.0,178.0,34.0,180.0,164.0,205.0,88.0,225.0,64.0,90.0,222.0,125.0,46.0
Sequence Length Heterogeneity,1.34102718446,0.152507618277,0.271207638478,0.110341115921,0.111641298133,0.142749867157,0.126146246741,0.0183285799743,0.0259067428483,0.114388708133,0.0714285714286,0.0139681516739,0.075417109506,0.0661437827766,0.19133313259,0.0979664128145,0.0,0.343853028363,0.178453719568,0.120983844746,0.0280898876404,0.0,0.0,0.117180944039,0.0467297920966,0.0450051437389,0.0816495231461,0.080223503263,0.0540988149946,0.0779759380423,0.360571590374,0.141120222239,0.0115703410105,0.250946305383,0.0244592445813,0.125092558324,0.0631811819517,0.0352766841475,0.0584945017752,0.15656930603,0.0798924278865,0.215349259352,0.0234328931461,0.00814831581069,0.0144137515133,0.0,0.0839186935906,0.435104921973,0.207580242632,0.031460626752,0.0521477662494,0.0,0.0254237288136,0.166666666667,0.0461574358827,0.0377852033776,0.0844432381781,0.118628301042,0.00807482893972,0.0,0.0938512566285,0.0793120233334,0.0335119795208,0.0535758375611,0.0303218716521,0.0271810025183,0.119238424864,0.124709221779,0.0293873196326,0.0767709361251,0.118214912303,0.0,0.0697470123853,0.0324354083814,0.149666295471,0.122272061064,0.0886285451032,0.0204113731532,0.124247165619,0.221967410333,0.0163935803014,0.0858301617396,0.733316591137,0.0843326280554,0.0111111111111
Gappiness Percentage,0.553892215569,0.116666666667,0.252427184466,0.310379241517,0.136865342163,0.157407407407,0.245532245532,0.015625,0.0411522633745,0.214387464387,0.224789915966,0.0157480314961,0.0771055753262,0.1,0.30612244898,0.379464285714,0.0,0.43018018018,0.172185430464,0.20218579235,0.025,0.0,0.0,0.137755102041,0.0826666666667,0.0277777777778,0.208646616541,0.19823434992,0.117006802721,0.193732193732,0.393243243243,0.223011363636,0.015873015873,0.221294363257,0.0758293838863,0.142222222222,0.212121212121,0.0864197530864,0.205026455026,0.162087912088,0.0772946859903,0.285185185185,0.0325342465753,0.058,0.025641025641,0.0224719101124,0.260465116279,0.36047979798,0.249466950959,0.0526315789474,0.0424628450106,0.0,0.0368852459016,0.181818181818,0.127952755906,0.046511627907,0.114285714286,0.211764705882,0.00919540229885,0.0,0.0690789473684,0.0923694779116,0.189380530973,0.0460704607046,0.0295454545455,0.0238095238095,0.249140893471,0.27145581691,0.0846511627907,0.103277674706,0.292485549133,0.0,0.0569620253165,0.0296296296296,0.325,0.189054726368,0.0776470588235,0.0227642276423,0.231741573034,0.315471698113,0.0208333333333,0.181818181818,0.465065502183,0.292695473251,0.0163043478261
Average Gap Length,30.8333333333,14.0,12.2352941176,7.06818181818,5.39130434783,5.27586206897,5.09677419355,1.0,2.5,5.18965517241,7.13333333333,1.5,6.5,2.25,22.5,10.2,0.0,23.2926829268,5.51515151515,7.4,2.25,0.0,0.0,3.27272727273,3.1,2.66666666667,4.91150442478,8.66666666667,4.64864864865,7.55555555556,14.55,6.40816326531,1.22222222222,28.9090909091,5.05263157895,3.55555555556,3.125,2.625,10.3333333333,8.42857142857,5.33333333333,15.4,3.16666666667,2.41666666667,1.09090909091,1.0,7.85964912281,11.1960784314,18.72,2.28571428571,2.22222222222,0.0,1.8,3.27272727273,3.61111111111,2.0,3.69230769231,7.71428571429,1.0,0.0,2.625,2.3,4.65217391304,5.66666666667,1.44444444444,2.0,8.05555555556,6.88709677419,3.37037037037,4.51351351351,10.7659574468,0.0,9.0,2.66666666667,7.15,7.6,3.14285714286,1.55555555556,5.68965517241,13.0625,1.14285714286,3.6,23.6666666667,6.1847826087,1.0
Median Gap Length,5.0,14.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,1.5,7.5,2.5,21.0,11.0,0.0,15.0,5.0,3.0,1.0,0.0,0.0,1.0,3.5,2.0,3.0,5.0,3.0,6.0,14.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,12.0,6.0,4.0,14.0,3.0,2.0,1.0,1.0,4.0,3.0,6.0,1.5,1.0,0.0,1.0,2.0,4.0,2.0,3.0,11.0,1.0,0.0,2.0,1.5,3.0,3.0,1.0,1.0,8.0,4.0,2.0,3.0,11.0,0.0,9.0,1.0,8.0,7.0,1.0,1.0,3.0,7.5,1.0,2.0,4.0,5.0,1.0
