Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
Number of Sequences,5.0,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,21.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,7.0,29.0,3.0,28.0,4.0,16.0,5.0,20.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,14.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,17.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,9.0,6.0,3.0,8.0,18.0,11.0,5.0,4.0,4.0,3.0,11.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,13.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,6.0,13.0,15.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,8.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,10.0,13.0,51.0,6.0,9.0,4.0,19.0,12.0,4.0,12.0
Reference Length,148.0,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,20.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,168.0,151.0,20.0,122.0,142.0,90.0,26.0,41.0,438.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,45.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,50.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,351.0,78.0,89.0,215.0,32.0,144.0,513.0,469.0,152.0,157.0,103.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,135.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,97.0,121.0,70.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,138.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,492.0,455.0,116.0,64.0,99.0,229.0,115.0,162.0,46.0,62.0
Estimated Length,167.0,207.0,60.0,287.0,382.0,448.0,275.0,26.0,160.0,20.0,1163.0,32.0,164.0,147.0,176.0,262.0,137.0,134.0,302.0,45.0,225.0,488.0,166.0,32.0,84.0,73.0,563.0,951.0,240.0,125.0,173.0,223.0,20.0,151.0,147.0,90.0,26.0,41.0,680.0,556.0,76.0,426.0,217.0,185.0,510.0,112.0,71.0,48.0,466.0,444.0,257.0,124.0,43.0,393.0,281.0,380.0,46.0,103.0,512.0,232.0,75.0,58.0,85.0,534.0,64.0,97.0,105.0,74.0,54.0,151.0,128.0,304.0,704.0,81.0,87.0,318.0,34.0,235.0,547.0,689.0,162.0,212.0,120.0,125.0,368.0,69.0,539.0,106.0,171.0,233.0,44.0,184.0,197.0,935.0,240.0,145.0,284.0,189.0,286.0,22.0,214.0,849.0,100.0,151.0,371.0,88.0,856.0,72.0,138.0,80.0,109.0,185.0,81.0,224.0,262.0,213.0,185.0,79.0,982.0,233.0,180.0,139.0,56.0,466.0,197.0,236.0,583.0,205.0,599.0,98.0,776.0,520.0,1080.0,953.0,224.0,64.0,99.0,307.0,205.0,215.0,46.0,145.0
Maximum Ungapped Length,144.0,165.0,60.0,191.0,129.0,280.0,153.0,26.0,126.0,20.0,255.0,32.0,159.0,97.0,93.0,101.0,127.0,117.0,281.0,44.0,119.0,226.0,71.0,32.0,84.0,45.0,250.0,448.0,142.0,62.0,147.0,149.0,20.0,110.0,135.0,89.0,26.0,41.0,350.0,299.0,76.0,185.0,144.0,119.0,206.0,107.0,71.0,48.0,337.0,302.0,235.0,104.0,33.0,173.0,155.0,160.0,45.0,98.0,468.0,204.0,73.0,51.0,76.0,472.0,50.0,97.0,104.0,69.0,45.0,145.0,119.0,193.0,299.0,77.0,87.0,191.0,32.0,136.0,484.0,428.0,149.0,155.0,93.0,125.0,167.0,60.0,303.0,63.0,116.0,147.0,43.0,137.0,74.0,335.0,92.0,145.0,253.0,119.0,193.0,22.0,151.0,360.0,81.0,96.0,366.0,88.0,299.0,70.0,86.0,50.0,93.0,104.0,69.0,204.0,145.0,154.0,185.0,79.0,255.0,158.0,178.0,135.0,34.0,180.0,102.0,164.0,166.0,205.0,243.0,88.0,350.0,225.0,335.0,366.0,93.0,64.0,90.0,222.0,92.0,125.0,46.0,62.0
Sequence Length Heterogeneity,0.0688170016896,1.34102718446,0.152507618277,0.271207638478,0.110341115921,0.111641298133,0.142749867157,0.0157856011585,0.126146246741,0.0,0.345332632711,0.0183285799743,0.0259067428483,0.114388708133,0.0560347322844,0.0714285714286,0.0139681516739,0.0205951790499,0.075417109506,0.0661437827766,0.19133313259,0.141421926379,0.0979664128145,0.00286468280321,0.0,0.0592557157962,0.188423377013,0.343853028363,0.221203182751,0.208538172695,0.0428145556516,0.178453719568,0.0,0.120983844746,0.0215645487294,0.0280898876404,0.0172005229038,0.0,0.172177976705,0.107666613371,0.0,0.270511947043,0.0370185597589,0.0505691087237,0.338455642865,0.117180944039,0.0467297920966,0.0450051437389,0.0816495231461,0.080223503263,0.0540988149946,0.0779759380423,0.0359305620747,0.360571590374,0.133166257766,0.141120222239,0.101278918578,0.0115703410105,0.250946305383,0.0244592445813,0.125092558324,0.0631811819517,0.0352766841475,0.146784389009,0.12992780096,0.0584945017752,0.15656930603,0.0798924278865,0.215349259352,0.0234328931461,0.00814831581069,0.143500751892,0.150208590648,0.0144137515133,0.0,0.0839186935906,0.00736569563736,0.435104921973,0.0481907121133,0.207580242632,0.031460626752,0.0521477662494,0.0668827666391,0.0,0.125570128386,0.0254237288136,0.289963498625,0.166666666667,0.0461574358827,0.0386557279387,0.0377852033776,0.0844432381781,0.118628301042,0.121446621461,0.170543591959,0.00807482893972,0.0355522343441,0.0539291857441,0.0890729939548,0.0,0.0938512566285,0.123028896216,0.0793120233334,0.0335119795208,0.0535758375611,0.0303218716521,0.419534103076,0.0271810025183,0.119238424864,0.0876671082321,0.0780344808179,0.124709221779,0.296667377273,0.0293873196326,0.0767709361251,0.118214912303,0.0,0.0697470123853,0.151299270192,0.0973267835996,0.0324354083814,0.0264110704603,0.149666295471,0.122272061064,0.0964554211567,0.0886285451032,0.300658669222,0.0204113731532,0.147046634422,0.124247165619,0.172076634182,0.221967410333,0.128385624364,0.23911700729,0.0588996217641,0.0163935803014,0.0858301617396,0.733316591137,0.186328947382,0.0843326280554,0.0111111111111,0.250140252465
Gappiness Percentage,0.0810810810811,0.553892215569,0.116666666667,0.252427184466,0.310379241517,0.136865342163,0.157407407407,0.0079185520362,0.245532245532,0.0,0.453262786596,0.015625,0.0411522633745,0.214387464387,0.222423510467,0.224789915966,0.0157480314961,0.0935390549662,0.0771055753262,0.1,0.30612244898,0.392453951277,0.379464285714,0.000262605042017,0.0,0.406390977444,0.378104575163,0.43018018018,0.379467186485,0.40435413643,0.174319727891,0.172185430464,0.0,0.20218579235,0.0965794768612,0.025,0.00961538461538,0.0,0.425114155251,0.395567698846,0.0,0.595614035088,0.0892543859649,0.199650174913,0.479344729345,0.137755102041,0.0826666666667,0.0277777777778,0.208646616541,0.19823434992,0.117006802721,0.193732193732,0.161375661376,0.393243243243,0.376518218623,0.223011363636,0.252380952381,0.015873015873,0.221294363257,0.0758293838863,0.142222222222,0.212121212121,0.0864197530864,0.151024590164,0.310588235294,0.205026455026,0.162087912088,0.0772946859903,0.285185185185,0.0325342465753,0.058,0.227184466019,0.360557138335,0.025641025641,0.0224719101124,0.260465116279,0.00173611111111,0.36047979798,0.0810916179337,0.249466950959,0.0526315789474,0.0424628450106,0.182700794351,0.0,0.410106382979,0.0368852459016,0.335244335244,0.181818181818,0.127952755906,0.186731195806,0.046511627907,0.114285714286,0.211764705882,0.423857142857,0.515576962492,0.00919540229885,0.0799663299663,0.182336182336,0.179915048544,0.0,0.0690789473684,0.27059712774,0.0923694779116,0.189380530973,0.0460704607046,0.0295454545455,0.459677419355,0.0238095238095,0.249140893471,0.317666666667,0.135738831615,0.27145581691,0.498095238095,0.0846511627907,0.103277674706,0.292485549133,0.0,0.0569620253165,0.477409326425,0.332535885167,0.0296296296296,0.0688405797101,0.325,0.189054726368,0.307926829268,0.0776470588235,0.402661064426,0.0227642276423,0.336724647194,0.231741573034,0.420009784736,0.315471698113,0.414837398374,0.471851225697,0.275524002705,0.0208333333333,0.181818181818,0.465065502183,0.49885583524,0.292695473251,0.0163043478261,0.370967741935
Average Gap Length,3.5294117647099994,30.8333333333,14.0,12.2352941176,7.06818181818,5.39130434783,5.27586206897,1.0,5.09677419355,0.0,19.3962264151,1.0,2.5,5.18965517241,6.77914110429,7.13333333333,1.5,2.93939393939,6.5,2.25,22.5,8.15432098765,10.2,1.0,0.0,11.5,15.6351351351,23.2926829268,11.2307692308,13.5242718447,3.7962962963,5.51515151515,0.0,7.4,1.66956521739,2.25,1.0,0.0,10.64,10.651226158,0.0,34.8205128205,3.73394495413,4.41436464088,17.4051724138,3.27272727273,3.1,2.66666666667,4.91150442478,8.66666666667,4.64864864865,7.55555555556,1.5641025641,14.55,8.01724137931,6.40816326531,7.95,1.22222222222,28.9090909091,5.05263157895,3.55555555556,3.125,2.625,8.56976744186,7.76470588235,10.3333333333,8.42857142857,5.33333333333,15.4,3.16666666667,2.41666666667,5.70731707317,10.7452830189,1.09090909091,1.0,7.85964912281,1.0,11.1960784314,5.94285714286,18.72,2.28571428571,2.22222222222,5.30769230769,0.0,11.4222222222,1.8,18.0588235294,3.27272727273,3.61111111111,3.89075630252,2.0,3.69230769231,7.71428571429,16.081300813,15.48,1.0,3.14049586777,4.05063291139,4.39259259259,0.0,2.625,15.0420168067,2.3,4.65217391304,5.66666666667,1.44444444444,26.71875,2.0,8.05555555556,7.68548387097,4.64705882353,6.88709677419,19.3703703704,3.37037037037,4.51351351351,10.7659574468,0.0,9.0,12.7617728532,8.77894736842,2.66666666667,1.85365853659,7.15,7.6,6.93893129771,3.14285714286,11.7346938776,1.55555555556,9.58878504673,5.68965517241,10.5337423313,13.0625,17.1512605042,18.9863945578,6.93617021277,1.14285714286,3.6,23.6666666667,15.7971014493,6.1847826087,1.0,12.5454545455
Median Gap Length,1.0,5.0,14.0,4.0,4.0,3.0,3.0,1.0,3.0,0.0,9.0,1.0,2.0,2.0,6.0,4.0,1.5,2.0,7.5,2.5,21.0,4.0,11.0,1.0,0.0,12.0,4.0,15.0,8.0,10.0,2.0,5.0,0.0,3.0,1.0,1.0,1.0,0.0,7.0,6.0,0.0,38.0,2.0,3.0,13.0,1.0,3.5,2.0,3.0,5.0,3.0,6.0,1.0,14.0,7.0,3.0,11.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,12.0,6.0,4.0,14.0,3.0,2.0,3.0,7.0,1.0,1.0,4.0,1.0,3.0,4.0,6.0,1.5,1.0,5.0,0.0,9.0,1.0,5.0,2.0,4.0,2.0,2.0,3.0,11.0,9.0,9.0,1.0,3.0,2.0,2.0,0.0,2.0,7.0,1.5,3.0,3.0,1.0,7.5,1.0,8.0,4.0,4.0,4.0,33.0,2.0,3.0,11.0,0.0,9.0,8.0,2.0,1.0,1.0,8.0,7.0,8.0,1.0,8.0,1.0,4.0,3.0,7.0,7.5,11.0,6.0,6.0,1.0,2.0,4.0,15.0,5.0,1.0,9.5
1-SPFP(masked),0.696501220504,0.819444444444,0.668965517241,0.57196969697,0.370118845501,0.65664160401,0.531225296443,0.94929048414,0.416077738516,1.0,0.95154185022,0.919786096257,0.747767857143,0.564522342065,0.790735518813,0.48951048951,0.514204545455,0.739884393064,0.723796033994,0.773913043478,0.864864864865,0.278389487264,0.558394160584,0.810299527063,0.952380952381,0.856289259997,0.343506273313,0.469849246231,0.502377782005,0.53111476952,0.365326251897,0.453389830508,1.0,0.653465346535,0.877821125933,0.78488372093,0.947162426614,0.926829268293,0.488940781361,0.406620142135,1.0,0.285904119391,0.76875,0.34228015704,0.334783133986,0.632993014508,0.57957957958,0.696480938416,0.642883895131,0.734669811321,0.895657809462,0.723547195163,0.757974350543,0.673684210526,0.635508924922,0.538625466169,0.709546377793,0.695739348371,0.916481069042,0.905979827089,0.840909090909,0.818638647784,0.673170731707,0.640216795567,0.651793928243,0.690476190476,0.849762470309,0.642857142857,0.78024691358,0.989130434783,0.824742268041,0.286261456386,0.251782531194,0.73381294964,0.655172413793,0.436979969183,0.789680082559,0.349783549784,0.76331496786,0.603305785124,0.796296296296,0.667692307692,0.753942486085,0.984,0.374119353502,0.694189602446,0.399324134047,0.72619047619,0.406315789474,0.506702783929,0.616554054054,0.660101651842,0.5,0.376113162846,0.473568227705,0.972027972028,0.765193989684,0.366582210961,0.387877716911,1.0,0.526484751204,0.309173076087,0.844919786096,0.689655172414,0.823762376238,0.909199522103,0.794871794872,0.577,0.785529715762,0.633271512055,0.78466838932,0.497162076939,0.820629159105,0.842332613391,0.562666076174,0.713399503722,0.643243243243,0.829836829837,0.326447285277,0.520937582302,0.764705882353,0.867876382194,0.663708961846,0.857142857143,0.425991164793,0.686259541985,0.485094850949,0.797639123103,0.424672293051,0.847663012118,0.522896698616,0.68882602546,0.379076923077,0.365680029974,0.734192242972,0.827956989247,0.440237564959,0.860068259386,0.520266803489,0.535714285714,0.911111111111,0.496954933009
1-SPFN(masked),0.807547169811,0.546296296296,0.979797979798,0.729468599034,0.346031746032,0.539094650206,0.539759036145,0.973048128342,0.754807692308,1.0,0.131868131868,0.955555555556,0.893333333333,0.683216783217,0.976228816809,0.224358974359,0.849765258216,0.898395721925,0.915770609319,0.872549019608,0.516129032258,0.599534793565,0.502463054187,0.996767937944,1.0,0.983506638938,0.634115805947,0.232587064677,0.676919133667,0.712532340506,0.580470162749,0.429718875502,1.0,0.602739726027,0.971201151026,0.992647058824,0.968,1.0,0.645256232687,0.640496180319,1.0,0.519695280565,0.792257644763,0.746697268249,0.385342789598,0.801360544218,0.714814814815,0.989583333333,0.767493852001,0.868292682927,0.935363790186,0.98087431694,0.878095238095,0.544217687075,0.729205753596,0.46892393321,0.822605965463,0.971988795518,0.962573099415,0.952651515152,0.880952380952,0.948148148148,0.766666666667,0.965381083563,0.947192513369,0.878787878788,0.959758551308,0.75,0.957575757576,0.996350364964,0.888888888889,0.560035682426,0.277777777778,0.971428571429,0.721518987342,0.575487012987,0.961789844143,0.367272727273,0.893817204301,0.55619047619,0.926724137931,0.628985507246,0.985151515152,1.0,0.470182291667,0.713836477987,0.644545454545,0.535087719298,0.473039215686,0.798996071584,0.760416666667,0.855144032922,0.025,0.605057842346,0.772197129379,0.972027972028,0.924379423617,0.800990675991,0.762152777778,1.0,0.635658914729,0.677619047619,0.863387978142,0.695652173913,0.930648769575,0.95125,0.306172839506,0.725786163522,0.687005649718,0.92948125321,0.964021164021,0.631677350427,0.9569664903,0.928571428571,0.57037037037,0.970464135021,1.0,0.988888888889,0.710687830688,0.788676236045,0.955882352941,0.958959899749,0.8,0.0733944954128,0.600031505986,0.730894308943,0.167133520075,0.938492063492,0.623188405797,0.920426065163,0.68365357839,0.512631578947,0.34802259887,0.556125356125,0.929660130719,0.933333333333,0.732098765432,0.591549295775,0.790643274854,0.757575757576,0.97619047619,0.537549407115
TC(masked),0.7452830188679245,0.111111111111,0.969696969697,0.652173913043,0.309523809524,0.314814814815,0.144578313253,0.92,0.269230769231,1.0,0.102564102564,0.933333333333,0.84,0.363636363636,0.714285714286,0.0961538461538,0.774647887324,0.636363636364,0.881720430108,0.764705882353,0.467741935484,0.119402985075,0.344827586207,0.807692307692,1.0,0.357142857143,0.380281690141,0.0671641791045,0.450980392157,0.173913043478,0.253164556962,0.0,1.0,0.424657534247,0.824561403509,0.985294117647,0.92,1.0,0.138157894737,0.176991150442,1.0,0.230769230769,0.518867924528,0.227272727273,0.0212765957447,0.514285714286,0.314814814815,0.96875,0.544600938967,0.619512195122,0.817258883249,0.950819672131,0.56,0.0,0.268292682927,0.207792207792,0.642857142857,0.941176470588,0.943859649123,0.897727272727,0.839285714286,0.611111111111,0.683333333333,0.921487603306,0.636363636364,0.575757575758,0.915492957746,0.625,0.954545454545,0.992700729927,0.790476190476,0.135593220339,0.0796460176991,0.928571428571,0.582278481013,0.352272727273,0.692307692308,0.0,0.736559139785,0.342857142857,0.862068965517,0.452173913043,0.933333333333,1.0,0.09375,0.584905660377,0.3375,0.473684210526,0.220588235294,0.20253164557,0.28125,0.777777777778,0.025,0.245762711864,0.0333333333333,0.958041958042,0.647668393782,0.386363636364,0.319444444444,1.0,0.348837209302,0.34,0.852459016393,0.347826086957,0.895973154362,0.8875,0.271604938272,0.283018867925,0.491525423729,0.590909090909,0.904761904762,0.270833333333,0.740740740741,0.839285714286,0.320987654321,0.873417721519,1.0,0.983333333333,0.0952380952381,0.552631578947,0.933823529412,0.877192982456,0.588235294118,0.0275229357798,0.173913043478,0.357723577236,0.0588235294118,0.910714285714,0.217391304348,0.754385964912,0.282894736842,0.294736842105,0.0847457627119,0.222222222222,0.45,0.8,0.488888888889,0.183098591549,0.466666666667,0.318181818182,0.952380952381,0.217391304348
Compression(masked),1.1283783783783783,1.23952095808,1.0,1.3932038835,2.2874251497,1.48344370861,1.6975308642,1.0,1.11888111888,1.0,3.58950617284,1.0,1.01234567901,1.36111111111,1.62962962963,2.20168067227,1.07874015748,1.09836065574,1.07473309609,1.0,1.5306122449,1.59477124183,1.72916666667,1.0,1.0,1.30357142857,1.83986928105,1.71351351351,1.40350877193,1.92307692308,1.02976190476,1.47682119205,1.0,1.23770491803,1.03521126761,1.0,1.0,1.0,1.55251141553,1.51912568306,1.0,1.49473684211,1.42763157895,1.34057971014,2.17948717949,1.0,0.946666666667,1.0,1.22631578947,1.24719101124,1.04897959184,1.05982905983,1.19444444444,2.12432432432,1.47894736842,2.15909090909,1.02222222222,1.0404040404,1.06889352818,1.09952606635,1.0,1.05454545455,1.04938271605,1.09426229508,1.28,0.898148148148,1.00961538462,1.07246376812,1.2,1.03424657534,1.024,1.47572815534,2.0056980057,1.03846153846,0.977528089888,1.47906976744,1.0625,1.63194444444,1.06627680312,1.46908315565,1.06578947368,1.35031847134,1.16504854369,1.0,1.56595744681,1.13114754098,1.61861861862,1.60606060606,1.34645669291,1.36257309942,1.02325581395,1.31428571429,2.31764705882,1.87,2.01680672269,1.0,1.07575757576,1.4,1.38834951456,1.0,1.40789473684,1.92517006803,1.20481927711,1.33628318584,1.0054200542,1.0,2.30107526882,1.02857142857,1.42268041237,1.6,1.12371134021,1.52892561983,1.15714285714,1.04186046512,1.78231292517,1.23121387283,1.0,1.0,2.54404145078,1.11483253589,1.0,1.00724637681,1.4,2.3184079602,1.60162601626,1.38823529412,2.85784313725,1.0,2.16245487365,1.10112359551,1.77168949772,1.96226415094,2.19512195122,2.09450549451,1.93103448276,1.0,1.0,1.34061135371,1.78260869565,1.32716049383,1.0,2.33870967742
Average Terminal Gap length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
